name,value,wetland_type,sum_area_nwi_km2
id,CA_Los Angeles_C39_C_522,Riverine,0.00538218670856705
id,CA_Los Angeles_C40_C_524,Riverine,0.00992337892587826
id,CA_Los Angeles_C41_C_525,Freshwater Forested/Shrub Wetland,0.0051773743134184
id,CA_Los Angeles_C41_C_525,Freshwater Pond,0.01330322818462411
id,CA_Los Angeles_C41_C_525,Riverine,0.00806842496125484
id,CA_Los Angeles_C43_C_529,Riverine,9.467691013181466e-4
id,CA_Los Angeles_C45_C_531,Riverine,0.00839986611929202
id,CA_Los Angeles_C46_C_532,Riverine,0.0125764946812189
id,CA_Los Angeles_C47_C_533,Lake,3.435745598170906e-4
id,CA_Los Angeles_C52_C_540,Riverine,6.913542076051236e-4
id,CA_Los Angeles_C52_C_541,Riverine,0.0038491732850256
id,CA_Los Angeles_C54_C_543,Riverine,0.00834683986603096
id,CA_Los Angeles_C60_C_551,Freshwater Pond,0.0021070218084802
id,CA_Los Angeles_C61_C_552,Riverine,0.01588936635034788
id,CA_Los Angeles_C64_C_555,Freshwater Forested/Shrub Wetland,4.2536996504449054e-4
id,CA_Los Angeles_C68_C_559,Riverine,0.00260938807627864
id,CA_Los Angeles_C69_C_560,Freshwater Forested/Shrub Wetland,0.0011953855467649
id,CA_Los Angeles_C69_C_560,Riverine,0.0029096516676359
id,CA_Los Angeles_C6_C_550,Riverine,1.6168446337193017e-5
id,CA_Los Angeles_C7_C_561,Riverine,0.00706678053598888
id,CA_Los Angeles_C8_C_573,Riverine,0.02330898423100999
id,CA_Los Angeles_C96_C_591,Riverine,0.00481907089858874
id,CA_Los Angeles_C97_C_592,Riverine,0.01049638129384973
id,CA_Los Angeles_C9_C_584,Freshwater Forested/Shrub Wetland,0.00125837982414539
id,CA_Los Angeles_C9_C_584,Riverine,0.02794461271998799
id,CA_Los Angeles_D11_D_597,Freshwater Forested/Shrub Wetland,0.00128087823098874
id,CA_Los Angeles_D11_D_597,Riverine,0.01834003317708507
id,CA_Los Angeles_D13_D_599,Riverine,0.00272433085791996
id,CA_Los Angeles_D15_D_601,Riverine,0.00123753395570721
id,CA_Los Angeles_D16_D_602,Lake,0.00691063737625791
id,CA_Los Angeles_D16_D_602,Riverine,0.00313705691231461
id,CA_Los Angeles_D17_D_603,Riverine,0.00233469032043591
id,CA_Los Angeles_D20_D_607,Riverine,0.00116305686644837
id,CA_Los Angeles_D26_D_613,Estuarine and Marine Deepwater,0.06343065989041864
id,CA_Los Angeles_D26_D_613,Estuarine and Marine Wetland,0.11020008106046854
id,CA_Los Angeles_D26_D_613,Freshwater Pond,0.01421624737134645
id,CA_Los Angeles_D26_D_613,Riverine,0.01383089563431649
id,CA_Los Angeles_D28_D_615,Riverine,5.317154145351379e-4
id,CA_Los Angeles_D31_D_619,Riverine,0.00459327460187685
id,CA_Los Angeles_D32_D_620,Freshwater Emergent Wetland,0.0033615288170142
id,CA_Los Angeles_D32_D_620,Freshwater Forested/Shrub Wetland,0.04646770428284784
id,CA_Los Angeles_D32_D_620,Riverine,0.05558714671001264
id,CA_Los Angeles_D34_D_622,Freshwater Emergent Wetland,0.0019216499829136
id,CA_Los Angeles_D34_D_622,Freshwater Pond,0.0562531446863804
id,CA_Los Angeles_D38_D_626,Freshwater Forested/Shrub Wetland,0.00156511274127142
id,CA_Los Angeles_D38_D_626,Freshwater Pond,0.00230502235649828
id,CA_Los Angeles_D38_D_626,Riverine,0.02369938582706017
id,CA_Los Angeles_D42_D_631,Freshwater Forested/Shrub Wetland,0.00117754389745392
id,CA_Los Angeles_D44_D_633,Riverine,0.0203795095782213
id,CA_Los Angeles_D49_D_638,Freshwater Forested/Shrub Wetland,0.00159075563597213
id,CA_Los Angeles_D49_D_638,Riverine,0.01832870318189858
id,CA_Los Angeles_D53_D_643,Freshwater Pond,3.7880282087810336e-4
id,CA_Los Angeles_D54_D_644,Freshwater Emergent Wetland,0.00171950173349049
id,CA_Los Angeles_D54_D_644,Freshwater Forested/Shrub Wetland,0.01281712792207469
id,CA_Los Angeles_D54_D_644,Freshwater Pond,0.0105898875924194
id,CA_Los Angeles_D56_D_646,Riverine,0.00297299379038717
id,CA_Los Angeles_D57_D_647,Freshwater Forested/Shrub Wetland,0.00110759772653924
id,CA_Los Angeles_D57_D_647,Riverine,0.05573182872011931
id,CA_Los Angeles_D59_D_650,Riverine,0.03208615081432648
id,CA_Los Angeles_D61_D_655,Riverine,0.00949503956426759
id,CA_Los Angeles_D63_D_660,Freshwater Pond,0.0021429072959423
id,CA_Los Angeles_D66_D_664,Freshwater Forested/Shrub Wetland,0.00534261267039598
id,CA_Los Angeles_D67_D_666,Estuarine and Marine Deepwater,0.03114793131559935
id,CA_Los Angeles_D67_D_666,Estuarine and Marine Wetland,0.00625047782460426
id,CA_Los Angeles_D67_D_666,Freshwater Pond,0.00423329628259688
id,CA_Los Angeles_D69_D_669,Riverine,1.8717462801485816e-4
id,CA_Los Angeles_D70_D_671,Freshwater Forested/Shrub Wetland,3.03920769225806e-5
id,CA_Los Angeles_D70_D_671,Riverine,3.8353613295203466e-4
id,CA_Oakland_A11_A_678,Riverine,6.381554407062904e-4
id,CA_Oakland_A1_A_676,Freshwater Pond,0.01139969930004056
id,CA_Oakland_A1_A_676,Riverine,0.0043004830190797
id,CA_Oakland_A2_A_679,Riverine,0.00838738256405634
id,CA_Oakland_A3_A_680,Riverine,0.01169368483176511
id,CA_Oakland_A4_A_681,Riverine,0.01560754929452058
id,CA_Oakland_A6_A_683,Freshwater Pond,1.816826944128552e-4
id,CA_Oakland_A6_A_683,Riverine,0.00267550048513568
id,CA_Oakland_A7_A_684,Freshwater Pond,0.00297801171052374
id,CA_Oakland_A7_A_684,Riverine,0.00757660241708849
id,CA_Oakland_A8_A_685,Freshwater Pond,0.00499403174207452
id,CA_Oakland_A8_A_685,Riverine,0.01035261180105677
id,CA_Oakland_A_A_675,Freshwater Pond,0.00307718990640703
id,CA_Oakland_A_A_675,Riverine,0.0562074343790941
id,CA_Oakland_B12_B_690,Riverine,9.519145784086068e-4
id,CA_Oakland_B13_B_691,Riverine,0.02712624558284759
id,CA_Oakland_B14_B_692,Freshwater Pond,0.00720769429584704
id,CA_Oakland_B14_B_692,Riverine,0.00199451692051178
id,CA_Oakland_B15_B_693,Riverine,2.231558925886493e-4
id,CA_Oakland_B1_B_687,Riverine,6.304868769348832e-4
id,CA_Oakland_B23_B_702,Riverine,0.00871306747927173
id,CA_Oakland_B25_B_704,Riverine,0.00364648378000308
id,CA_Oakland_B28_B_707,Riverine,2.4415766084541973e-4
id,CA_Oakland_B29_B_708,Riverine,0.00701972733666737
id,CA_Oakland_B2_B_698,Riverine,0.00237197479648995
id,CA_Oakland_B32_B_712,Riverine,3.060859683035196e-4
id,CA_Oakland_B35_B_715,Riverine,8.259499378651381e-4
id,CA_Oakland_B36_B_716,Riverine,0.00419144287480293
id,CA_Oakland_B38_B_718,Freshwater Pond,7.006771983765065e-4
id,CA_Oakland_B38_B_718,Riverine,0.0337249282288164
id,CA_Oakland_B3_B_709,Riverine,0.00260806512068342
id,CA_Oakland_B40_B_721,Riverine,0.00419698215852149
id,CA_Oakland_B42_B_723,Riverine,0.00450350538401369
id,CA_Oakland_B43_B_724,Lake,0.00146551578340423
id,CA_Oakland_B44_B_725,Freshwater Pond,0.02154420496182423
